title,category,description,location_x,location_y,date,address,instagram,logo,flyer_link
Stance Society 5º Edición,MEET,Mas detalles en Instagram.,-34.54837554,-58.43583352,2024-12-09,Golden Center,https://www.instagram.com/stancesocietyarg/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/event_stance.jpg,NONE
Top Race,RACE,Consultar detalles del evento en Instagram.,-34.69522091,-58.46177878,2024-12-09,Autódromo Óscar y Juan Gálvez,https://www.instagram.com/topraceok,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/topraceok.jpg,NONE
Turismo Nacional,RACE,Una competencia con autos de calle accesibles y cercanos al público. ,-43.30095224,-65.27143454,2024-12-09,Autódromo Mar y Valle,https://www.instagram.com/prensatn/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/prensatn.jpg,NONE
Córdoba Pista,RACE,Consultar detalles del evento en Instagram.,-31.57830129,-64.36767439,2024-12-09,Autódromo Oscar Cabalén,https://www.instagram.com/CordobaPista/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/cordobapista.jpg,NONE
Copa Gol VW del Sudeste,RACE,Consultar detalles del evento en Instagram.,-38.35484867,-59.59093703,2024-12-09,Autodromo San Cayetano,https://www.instagram.com/vwgolsud/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/vwgolsud.jpg,NONE
Turismo Sport del Sudeste,RACE,Consultar detalles del evento en Instagram.,-38.35484867,-59.59093703,2024-12-09,Autodromo San Cayetano,https://www.instagram.com/tssudeste/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/tssudeste.jpg,NONE
Fiat 600 ATN,RACE,Consultar detalles del evento en Instagram.,-34.9808642,-58.18128397,2024-12-09,Autódromo Roberto José Mouras,https://www.instagram.com/f600atn/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/f600atn.jpg,NONE
Fórmula Renault Plus CBA,RACE,Consultar detalles del evento en Instagram.,-31.57830129,-64.36767439,2024-12-09,Autódromo Oscar Cabalén,https://www.instagram.com/fr_pluscba/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/fr_pluscba.jpg,NONE
Turismo Pista Neuquino,RACE,Consultar detalles del evento en Instagram.,-38.85379471,-68.15331741,2024-12-09,Autódromo Parque Provincia del Neuquén,https://www.instagram.com/turismopistaneuquino/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/turismopistaneuquino.jpg,NONE
TC Neuquino,RACE,Consultar detalles del evento en Instagram.,-38.85379471,-68.15331741,2024-12-09,Autódromo Parque Provincia del Neuquén,https://www.instagram.com/tc_neuquino/?hl=es,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/tc_neuquino.jpg,NONE
#OldTimeMeet,EVENT,Consultar detalles del evento en Instagram.,-35.43423162,-60.90831145,2024-12-08,Autódromo 9 de Julio,https://www.instagram.com/oldtimemeet.oficial/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/oldtimemeet.oficial.jpg,NONE
Copa Gol VW del Sudeste,RACE,Consultar detalles del evento en Instagram.,-38.35484867,-59.59093703,2024-12-08,Autodromo San Cayetano,https://www.instagram.com/vwgolsud/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/vwgolsud.jpg,NONE
Turismo Sport del Sudeste,RACE,Consultar detalles del evento en Instagram.,-38.35484867,-59.59093703,2024-12-08,Autodromo San Cayetano,https://www.instagram.com/tssudeste/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/tssudeste.jpg,NONE
Fórmula Renault Plus CBA,RACE,Consultar detalles del evento en Instagram.,-31.57830129,-64.36767439,2024-12-08,Autódromo Oscar Cabalén,https://www.instagram.com/fr_pluscba/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/fr_pluscba.jpg,NONE
Turismo Pista Neuquino,RACE,Consultar detalles del evento en Instagram.,-38.85379471,-68.15331741,2024-12-08,Autódromo Parque Provincia del Neuquén,https://www.instagram.com/turismopistaneuquino/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/turismopistaneuquino.jpg,NONE
TC Neuquino,RACE,Consultar detalles del evento en Instagram.,-38.85379471,-68.15331741,2024-12-08,Autódromo Parque Provincia del Neuquén,https://www.instagram.com/tc_neuquino/?hl=es,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/tc_neuquino.jpg,NONE
